# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
336.2546635;55.7106634;-1.562759;4.2883737;0.0066992;8;0
336.4545771;55.6285357;-1.7450232;4.2897;0.0065696;8;0
336.6544907;55.546647;-1.9273963;4.2910004;0.0064401;8;0
336.8544043;55.4649935;-2.1098739;4.2922749;0.0063106;8;0
337.0543179;55.3835702;-2.2924545;4.2935236;0.0061811;8;0
337.2542315;55.3023725;-2.4751359;4.2947463;0.0060517;8;0
337.4541451;55.2213963;-2.6579144;4.2959432;0.0059224;8;0
337.6540587;55.1406358;-2.8407901;4.2971143;0.0057931;8;0
337.8539723;55.0600877;-3.0237582;4.2982594;0.0056638;8;0
338.0538859;54.9797467;-3.2068176;4.2993788;0.0055346;8;0
338.2537995;54.8996081;-3.3899661;4.3004723;0.0054054;8;0
338.4537131;54.819668;-3.5732001;4.30154;0.0052763;8;0
338.6536267;54.7399205;-3.7565198;4.3025819;0.0051472;8;0
338.8535402;54.6603621;-3.9399204;4.303598;0.0050181;8;0
339.0534538;54.5809877;-4.1234011;4.3045883;0.0048891;8;0
339.2533674;54.5017925;-4.3069594;4.3055528;0.0047602;8;0
339.453281;54.4227725;-4.490592;4.3064916;0.0046312;8;0
339.6531946;54.3439218;-4.6742993;4.3074045;0.0045023;8;0
339.8531082;54.265237;-4.8580764;4.3082917;0.0043734;8;0
340.0530218;54.1867127;-5.0419225;4.3091531;0.0042446;8;0
340.2529354;54.1083444;-5.2258355;4.3099888;0.0041158;8;0
340.452849;54.0301279;-5.4098117;4.3107988;0.003987;8;0
340.6527626;53.9520574;-5.5938519;4.3115829;0.0038583;8;0
340.8526762;53.8741293;-5.7779512;4.3123414;0.0037296;8;0
341.0525898;53.7963384;-5.9621088;4.3130741;0.0036009;8;0
341.2525034;53.71868;-6.1463226;4.3137812;0.0034723;8;0
341.452417;53.6411499;-6.3305892;4.3144625;0.0033437;8;0
341.6523306;53.5637423;-6.5149092;4.3151181;0.0032151;8;0
341.8522441;53.4864537;-6.6992778;4.3157479;0.0030865;8;0
342.0521577;53.4092787;-6.8836944;4.3163521;0.002958;8;0
342.2520713;53.3322127;-7.0681568;4.3169306;0.0028295;8;0
342.4519849;53.2552514;-7.2526617;4.3174835;0.002701;8;0
342.6518985;53.1783892;-7.4372097;4.3180106;0.0025726;8;0
342.8518121;53.1016223;-7.6217962;4.3185121;0.0024442;8;0
343.0517257;53.0249455;-7.8064205;4.3189879;0.0023158;8;0
343.2516393;52.9483541;-7.9910804;4.319438;0.0021875;8;0
343.4515529;52.8718439;-8.1757729;4.3198625;0.0020591;8;0
343.6514665;52.7954091;-8.3604983;4.3202613;0.0019308;8;0
343.8513801;52.719046;-8.5452522;4.3206345;0.0018025;8;0
344.0512937;52.6427494;-8.7300339;4.320982;0.0016743;8;0
344.2512073;52.5665145;-8.9148413;4.3213039;0.001546;8;0
344.4511209;52.4903371;-9.0996714;4.3216001;0.0014178;8;0
344.6510344;52.4142116;-9.2845244;4.3218708;0.0012896;8;0
344.850948;52.3381341;-9.4693961;4.3221158;0.0011615;8;0
345.0508616;52.2620994;-9.6542858;4.3223351;0.0010333;8;0
